Company	Count
Sparisjódur Höfdhverfinga ses.	21
Volksbank eG Gardelegen	21
Hongkong and Shanghai Banking Corporation Ltd - Offshore Banking Unit	21
HSBC Bank (Vietnam) Ltd	21
Bank of Punjab	21
Bank of Baroda (Uganda) Limited	21
Genossenschaftsbank Weil im Schönbuch eG	20
Volksbank Muellheim eG	20
American Business Bank	20
Banco John Deere S.A.	20
Sylter Bank Eg	20
Volksbank Hohenlimburg Eg	20
European American Investment Bank Ag	20
Banca 5 SpA	20
Raiffeisenbank Winkeln Genossenschaft	20
Raiffeisenbank Reute- Gaisbeuren eG	20
Vakif Gayrimenkul Yatirim Ortakligi A.S.	19
Raiffeisenbank Hardt-Bruhrain eG	19
Nordea Direct Bank Asa	19
Banisi SA	19
Raiffeisenbank Nahe eG	19
Raiffeisenbank eG, Moormerland	19
Oman Housing Bank (S.A.O.C.)	19
Volksbank Main-Tauber eG	19
Banco Central del Uruguay	19
Banco Aliado S.A.	18
Banco Hipotecario SA	18
Sparbanken Syd	18
Caixa De Crédito Agrícola Mútuo Das Serras De Ansião, C.R.L.	18
Intermediate Capital Group Plc	18
The Kumamoto Bank Ltd	18
National Bank of Tajikistan	18
Volksbank Kirnau eG	18
Raiffeisenbank Holzkirchen-Otterfing eG	18
PT Radana Bhaskara Finance Tbk	18
Allianz Bank Financial Advisors S.p.A.	18
akf bank GmbH & Co KG	18
Sumer Faktoring A.S	18
Goldbond Group Holdings Limited	18
Commerzbank Zrt	18
Cooperativa de Ahorro y Crédito La Dolorosa	18
Raiffeisenbank im Naabtal eG	18
Caixa De Crédito Agrícola Mútuo De Arouca, C.R.L.	18
BANK OF AFRICA UNITED KINGDOM PLC	17
Raiffeisenbank Noerdliche Bergstrasse Eg	17
Dashen Bank S.C.	17
Clearing Corporation of India Ltd (The)	17
Nordthüringer Volksbank eG	16
Suomen Pankki Finlands Bank	16
Raiffeisenbank Wiesedermeer-Wiesede-Marcardsmoor eG	16
Triodos Groenfonds NV	16
ProCredit Bank (Albania) Sh.A	16
PAIR Investment Company Limited	15
Volksbank Schwanewede eG	15
The Bank of Communications (Hong Kong) Limited	15
Raiffeisenbank Lorup eG	15
Raiffeisenbank Baisweil-Eggenthal-Friesenried eG	15
Volksbank Vorbach-Tauber eG	15
Punjab National Bank	15
Banco de la Nacion Argentina	14
Pulse Financial Services Limited	14
Banco do Estado do Espirito Santo S.A. - BANESTES	14
Global Yatirim Holding	14
Banco di Caribe N.V.	14
Dragon Capital (Cyprus) Limited	14
ING Luxembourg	14
Japan Securities Depository Center, Inc	14
Garanti Filo Yonetim Hizmetleri Anonim Sirketi	14
Europaisch-Iranische Handelsbank AG	14
BSQ Bauspar AG	14
Bank Rakyat Indonesia (Persero) Tbk	13
Dogus Gayrimenkul Yatirim Ortakligi A.S	13
Halk Faktoring AS	13
Hamburger Sparkasse AG	13
Sabah Development Berhad	13
Washington Federal Inc	13
Unión de Crédito para la Contaduría Pública S.A. de C.V.	13
Kashiwazaki Shinkin Bank	13
International Leasing And Financial Services Limited	13
Kyokuto Securities Co., Ltd.	13
PT Bank UOB Indonesia	13
Raiffeisenbank Holzheim eG	12
Raiffeisenbank Eg Simmerath	12
Banque Malgache de l'Océan Indien - BMOI	12
Steiermärkische Bank und Sparkassen AG	12
Spar- Und Darlehnskasse Hoengen Eg	12
Austrian Anadi Bank AG	12
Byblos Bank S.A.L.	12
Ziraat Bank Georgia	12
Everest Bank Limited	12
Financière Syz SA	12
Goldman Sachs (India) Capital Markets Private Limited	12
Vdk Bank	12
The Kagoshima Bank Ltd	11
National Citizen Commercial Joint Stock Bank	11
Crédit Suisse AG	11
Anan Shinkin Bank	11
Federal Home Loan Bank of New York	11
Fundación Dondé Banco	11
Primus Guaranty, Ltd	11
China Bohai Bank	11
Raiffeisenbank Parsberg-Velburg eG	11
Banca Credinvest SA	11
COOPESPARTA R.L.	11
Union Bank of Taiwan Public Company	11
Tokyo City Shinkin Bank	11
Tip Mexico SAPI DE CV	11
Bank of Ayudhya Public Company Ltd.	10
DBS BANK (China) Limited	10
Ebi SA	10
Aozora Bank Ltd	10
Federal Home Loan Bank of Dallas	10
Saigon Hanoi Bank Lao Ltd	10
Toyota Kreditbank Gmbh	10
Banco Central do Brasil	10
Raiffeisenbank im Donautal eG	10
Misr Bank - Europe GmbH	10
Leonteq Securities AG	10
Financiera Nacional de Desarrollo Agropecuario, Rural, Forestal y Pesquero	9
BGG Bayerische Garantiegesellschaft mit beschraenkter Haftung fuer mittelstaendische	9
PKB Privatbank AG	9
Merkur Andelskasse	9
Ehime Shinkin Bank	9
Banca Popolare delle Province Molisane Societa Cooperativa per Azioni	9
Public Bank Berhad	9
Greater Bank Limited	9
The Finance Company	9
The Toho Bank Ltd	8
Itoigawa Credit Cooperative	8
Boursorama SA	8
Yuanta Financial Holding Co Ltd	8
BlueStep Bank AB (publ)	8
First West Credit Union	8
BGFI Holding Corporation	7
Société de Financement d'achats à Crédit - SOFAC Crédit	7
Axion Swiss Bank SA	7
Tohoku Bank	7
Banco Bradesco Europa SA	7
Habib Bank Zurich (Hong Kong) Limited	7
Grupo Financiero Barclays Mexico, S.A. De C.V	7
Start Banregio S.A. de C.V. SOFOM, E.R. Banregio Grupo Financiero	7
Bermuda Monetary Authority	7
Eurobank Cyprus Ltd	7
Union de Credito Promotora para el Desarrollo Economico del Estado de Mexico, S.A. de C.V.	6
Bank Spoldzielczy W Kamiennej Gorze	6
TCF Financial Corporation	6
Intesa Sanpaolo	6
Caja Rural de Salamanca Sociedad Cooperativa de Crédito	6
Société Arabe Internationale de Banque	6
Cooperative Bank of Oromia SC	6
Banco de la Produccion SA - PRODUBANCO	6
Kushiro Credit Cooperative	6
Erste Capital Finance (Jersy) Tier 1 PC	6
Raiffeisenbank Bad Schussenried-Aulendorf eG	6
Raiffeisenbank Eifeltor eG	6
Aquila AG	6
Metbank Limited	5
Banco de Galicia y Buenos Aires SA	5
ING Belgium	5
LFA Förderbank Bayern	5
Bank Spoldzielczy w Ozarowie Centrala	5
Raiffeisenbank im Fuldaer Land eG	5
Citizens Holding Company	5
Banco Financiera Comercial Hondurena - Banco Ficohsa	5
Saffron Building Society	5
Aresbank SA	4
Mitsubishi UFJ Financial Group, Inc.	4
Credito Agricola, SGPS, SA	4
Toyoku Credit Cooperative	4
Mayfair bank Ltd	4
RAIFFEISEN BANK JSC	4
Clientis Bank Toggenburg AG	4
Raiffeisenbank Kirchheim-Walheim eG	4
Banca di Credito Cooperativo della Marca Scrl	4
Liberum Capital Limited	3
Mizrahi Tefahot Bank Ltd.	3
Mcb Seychelles Ltd	3
Locindus S.A.	3
Cassa Depositi e Prestiti	3
Albaraka Bank Limited	3
NedNamibia Holding Limited	3
Taipei Fubon Commercial Bank Co., Ltd.	3
Public Joint Stock Company MTB Bank	3
Sparebanken Vest Boligkreditt As	3
Banco Autofin México, S.A.	3
FINANCIERA UENO S.A.E.C.A.	3
Volksbank eG im Kreis Freudenstadt	3
Grupo Financiero Ve por Más, S.A. de C.V	3
Ghana Home Loans Limited	3
Chiba Kogyo Bank	3
Grupo Financiero Galicia SA	3
VR Bank Saarpfalz eG	2
Grupo Elektra Sab De Cv	2
Charter Court Financial Services Limited	2
Land Bank of Taiwan	2
Capitron Bank	2
Banco di Lucca E Del Tirreno SpA	2
Krung Thai Bank Public Company Limited	2
"JSC ""Poltava-Bank"""	2
MCB Group Limited	2
Société Générale Sénégal	2
Raiffeisenbank Muenchen-Nord eG	2
National Bank of Ras Al-Khaimah (P.S.C.) (The)	2
Banque Sahélo-Saharienne pour l'Investissement et le Commerce	2
Powszechna Kasa Oszczednosci Bank Polski SA - PKO BP SA	2
Belize Bank Ltd	2
Sparkasse Laubach-Hungen	2
SPAR NORD BANK A/S	2
Bremer Landesbank Kreditanstalt Oldenburg - Girozentrale	2
Nedbank (Swaziland) Limited	2
Moza Banco, S.A.	2
Santander International Debt S.A.	2
Security Federal Corporation	2
Mediofactoring Spa	2
Solar Capital Ltd	2
Citigroup Global Markets Japan Inc	1
GAM Holding AG	1
Banco Citibank	1
